user,day,logon_events,logoff_events,logon_outside_hours,unique_logon_pcs,usb_events,usb_connect_events,usb_disconnect_events,usb_outside_hours,unique_usb_pcs,file_copy_events,file_copy_outside_hours,unique_files_copied,unique_file_pcs,http_events,http_outside_hours,unique_urls,unique_domains,unique_http_pcs,email_events,email_outside_hours,total_email_size,avg_email_size,total_attachments,emails_with_attachments,to_recipients_count,cc_recipients_count,bcc_recipients_count,unique_email_pcs,rule_score,rule_reasons,anomaly_prediction,anomaly_score,is_anomaly,autoencoder_reconstruction_error,autoencoder_threshold,autoencoder_is_anomaly,risk_score,risk_level,alert_reason,employee_name,email,role,business_unit,functional_unit,department,team,supervisor,ldap_source_file
AAE0190,2010-01-04,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,441328.0,31523.428571428572,4.0,2.0,24.0,5.0,0.0,1.0,0,,1,0.18473046105750335,0,0.09666003404641572,0.697005956229538,0,0,low,No suspicious behavior detected,August Armando Evans,August.Armando.Evans@dtaa.com,Manager,1,6 - PurchasingAndContracts,1 - Purchasing,,Kirby Bo Pollard,2011-05.csv
AAE0190,2010-01-05,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,43048.0,21524.0,0.0,0.0,5.0,1.0,0.0,1.0,0,,1,0.2428711242294438,0,0.014624341299077318,0.697005956229538,0,0,low,No suspicious behavior detected,August Armando Evans,August.Armando.Evans@dtaa.com,Manager,1,6 - PurchasingAndContracts,1 - Purchasing,,Kirby Bo Pollard,2011-05.csv
AAE0190,2010-01-06,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.30578393868340736,0,0.004233867826321486,0.697005956229538,0,0,low,No suspicious behavior detected,August Armando Evans,August.Armando.Evans@dtaa.com,Manager,1,6 - PurchasingAndContracts,1 - Purchasing,,Kirby Bo Pollard,2011-05.csv
AAE0190,2010-01-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.28618955719068606,0,0.022899280613895203,0.697005956229538,0,0,low,No suspicious behavior detected,August Armando Evans,August.Armando.Evans@dtaa.com,Manager,1,6 - PurchasingAndContracts,1 - Purchasing,,Kirby Bo Pollard,2011-05.csv
AAF0535,2010-01-04,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,91511.0,30503.666666666668,4.0,2.0,6.0,3.0,2.0,1.0,0,,1,0.22483786386682375,0,0.030725241320431956,0.697005956229538,0,0,low,No suspicious behavior detected,Athena Amelia Foreman,Athena.Amelia.Foreman@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-07.csv
AAF0535,2010-01-05,1.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,USB activity detected,1,0.23342072694348898,0,0.06455823920665618,0.697005956229538,0,15,low,USB activity detected,Athena Amelia Foreman,Athena.Amelia.Foreman@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-07.csv
AAF0535,2010-01-06,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,USB activity detected,1,0.23403554596914067,0,0.048720406931456954,0.697005956229538,0,15,low,USB activity detected,Athena Amelia Foreman,Athena.Amelia.Foreman@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-07.csv
AAF0535,2010-01-07,1.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,USB activity detected,1,0.23342072694348898,0,0.06455823920665618,0.697005956229538,0,15,low,USB activity detected,Athena Amelia Foreman,Athena.Amelia.Foreman@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-07.csv
AAF0535,2010-01-08,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,USB activity detected,1,0.19816777509854322,0,0.033221526661336084,0.697005956229538,0,15,low,USB activity detected,Athena Amelia Foreman,Athena.Amelia.Foreman@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-07.csv
AAF0535,2010-01-11,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,USB activity detected,1,0.24138913393585137,0,0.034578884745784924,0.697005956229538,0,15,low,USB activity detected,Athena Amelia Foreman,Athena.Amelia.Foreman@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-07.csv
